City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Monster,NL,2020-02-23 14:40:40,52.03,4.17,53.01,93,75,27.51
151,Saint-Pierre,RE,2020-02-23 14:40:40,-21.34,55.48,82.4,65,75,5.82
152,Meulaboh,ID,2020-02-23 14:40:41,4.14,96.13,84.76,69,40,5.55
153,Shu,KZ,2020-02-23 14:40:41,43.6,73.76,37.99,58,100,8.01
154,Dingle,PH,2020-02-23 14:40:42,11.0,122.67,73.2,88,24,13.11
155,Morondava,MG,2020-02-23 14:40:42,-20.28,44.28,81.9,82,50,3.98
156,Tevaitoa,PF,2020-02-23 14:40:42,-16.78,-151.5,81.97,74,100,9.06
157,Saskylakh,RU,2020-02-23 14:38:28,71.92,114.08,7.25,83,100,7.74
158,Xanlar,AZ,2020-02-23 14:40:44,40.59,46.32,64.4,38,40,11.41
159,Avarua,CK,2020-02-23 14:40:44,-21.21,-159.78,78.8,94,100,3.36
160,Kaitangata,NZ,2020-02-23 14:40:44,-46.28,169.85,57.99,80,99,1.99
161,Roma,US,2020-02-23 14:38:41,43.21,-75.46,41.0,44,75,10.29
162,Havre,FR,2020-02-23 14:40:45,49.58,0.33,55.0,93,90,24.16
163,Bluff,NZ,2020-02-23 14:40:46,-46.6,168.33,55.99,86,68,4.0
164,Kasane,BW,2020-02-23 14:40:46,-17.82,25.15,86.0,55,40,9.17
165,Korla,CN,2020-02-23 14:40:47,41.76,86.15,37.99,68,0,1.99
166,Avera,US,2020-02-23 14:40:47,33.19,-82.53,48.0,80,1,2.08
167,Thompson,CA,2020-02-23 14:40:48,55.74,-97.86,5.0,84,75,3.36
168,Hjelset,NO,2020-02-23 14:40:48,62.78,7.48,34.0,76,75,19.46
169,Rio Cuarto,AR,2020-02-23 14:37:14,-33.13,-64.35,68.0,56,38,28.86
170,Kwinana,AU,2020-02-23 14:40:49,-32.25,115.77,82.4,51,40,17.22
171,Saint Anthony,US,2020-02-23 14:40:49,45.02,-93.22,34.0,74,1,6.93
172,Gazojak,TM,2020-02-23 14:40:50,41.19,61.4,47.12,54,2,8.19
173,Bethel,US,2020-02-23 14:40:50,41.37,-73.41,48.0,43,1,4.7
174,Nantucket,US,2020-02-23 14:40:51,41.28,-70.1,46.99,81,1,12.75
175,Dezful,IR,2020-02-23 14:40:51,32.38,48.41,64.38,58,33,1.28
176,Codrington,AU,2020-02-23 14:40:52,-38.27,141.97,61.45,85,98,14.18
177,Palmares,BR,2020-02-23 14:39:27,-8.68,-35.59,87.13,56,79,6.69
178,Karangampel,ID,2020-02-23 14:40:53,-6.46,108.45,80.87,81,95,11.43
179,Saint George,US,2020-02-23 14:36:39,37.1,-113.58,42.8,87,1,4.7
180,Borovoy,RU,2020-02-23 14:40:54,55.43,86.08,24.8,92,40,6.71
181,Skjervoy,NO,2020-02-23 14:40:54,70.03,20.97,33.8,86,75,4.7
182,Arraial Do Cabo,BR,2020-02-23 14:40:54,-22.97,-42.03,78.8,69,75,9.17
183,Marzuq,YE,2020-02-23 14:40:55,14.4,46.47,75.15,37,0,11.99
184,Longyearbyen,SJ,2020-02-23 14:40:55,78.22,15.64,-2.2,64,20,8.05
185,Beringovskiy,RU,2020-02-23 14:40:56,63.05,179.32,-13.36,88,30,1.9
186,Cidreira,BR,2020-02-23 14:40:56,-30.18,-50.21,70.16,65,0,7.09
187,Bjornevatn,NO,2020-02-23 14:40:57,69.67,29.98,26.6,92,75,12.75
188,Adilabad,IN,2020-02-23 14:40:57,19.67,78.53,84.13,31,98,13.15
189,Ust-Omchug,RU,2020-02-23 14:40:57,61.15,149.63,-19.57,100,99,2.57
190,Grand Gaube,MU,2020-02-23 14:40:58,-20.01,57.66,82.4,78,75,4.7
191,Moron,AR,2020-02-23 14:36:43,-34.65,-58.62,77.0,53,65,9.17
192,Kavieng,PG,2020-02-23 14:40:59,-2.57,150.8,84.61,70,79,9.82
193,Gawler,AU,2020-02-23 14:40:59,-34.6,138.73,77.0,49,100,8.05
194,Ancud,CL,2020-02-23 14:40:59,-41.87,-73.82,59.0,77,40,12.75
195,Tonekabon,IR,2020-02-23 14:41:00,36.82,50.87,51.8,93,90,6.93
196,Ibra,OM,2020-02-23 14:41:00,22.69,58.53,80.65,33,14,15.39
197,Catamarca,AR,2020-02-23 14:41:01,-28.47,-65.79,60.17,59,0,4.94
198,Novo Aripuana,BR,2020-02-23 14:41:01,-5.12,-60.38,81.16,80,100,0.51
199,Kimbe,PG,2020-02-23 14:41:02,-5.55,150.14,76.89,93,63,1.95
200,Marystown,CA,2020-02-23 14:41:02,47.17,-55.15,31.37,91,42,18.28
201,Igrim,RU,2020-02-23 14:41:02,63.19,64.42,31.01,83,62,16.26
202,Yarqa,JO,2020-02-23 14:41:03,31.98,35.69,59.0,44,75,10.29
203,Ballina,AU,2020-02-23 14:41:03,-28.87,153.57,68.0,100,100,5.82
204,Whitehorse,CA,2020-02-23 14:41:04,60.72,-135.05,15.8,72,90,2.68
205,Ngunguru,NZ,2020-02-23 14:41:04,-35.62,174.5,59.0,83,0,5.01
206,Udachnyy,RU,2020-02-23 14:41:05,66.42,112.4,3.2,84,100,6.71
207,Lake City,US,2020-02-23 14:40:46,30.19,-82.64,54.0,70,1,3.36
208,Belaya Gora,RU,2020-02-23 14:41:06,68.53,146.42,-15.66,98,96,1.97
209,Lagoa,PT,2020-02-23 14:41:06,39.05,-27.98,59.11,71,30,5.79
210,Taoudenni,ML,2020-02-23 14:41:06,22.68,-3.98,96.3,5,61,16.37
211,Karlstad,SE,2020-02-23 14:41:07,59.38,13.5,44.01,66,40,9.17
212,Bara,NG,2020-02-23 14:41:07,10.37,10.73,97.68,7,0,14.38
213,Omboue,GA,2020-02-23 14:39:04,-1.57,9.26,87.94,66,20,7.38
214,Loum,CM,2020-02-23 14:41:09,4.72,9.74,95.58,42,53,4.74
215,Lyubashivka,UA,2020-02-23 14:41:09,47.84,30.26,46.72,60,100,11.34
216,Rafai,CF,2020-02-23 14:41:09,4.95,23.92,100.65,14,26,5.3
217,Petrolina,BR,2020-02-23 14:37:15,-9.4,-40.5,87.8,62,40,8.05
218,Yerbogachen,RU,2020-02-23 14:41:11,61.28,108.01,10.22,96,88,6.82
219,Victoria,HK,2020-02-23 14:40:34,22.29,114.16,70.0,52,53,13.87
220,Nelson Bay,AU,2020-02-23 14:41:12,-32.72,152.15,71.01,83,40,4.7
221,Sorong,ID,2020-02-23 14:41:12,-0.88,131.25,76.93,90,100,4.07
222,Batagay,RU,2020-02-23 14:41:12,67.63,134.63,-8.93,98,100,0.54
223,Kalakamati,BW,2020-02-23 14:41:13,-20.59,27.31,80.6,65,20,5.82
224,Butaritari,KI,2020-02-23 14:41:13,3.07,172.79,84.61,75,100,16.06
225,Provideniya,RU,2020-02-23 14:41:14,64.38,-173.3,-10.43,80,0,2.66
226,Ossora,RU,2020-02-23 14:41:14,59.24,163.07,-2.16,84,100,4.99
227,Torbay,CA,2020-02-23 14:41:15,47.67,-52.73,37.0,84,20,21.92
228,Nikel,RU,2020-02-23 14:41:15,69.41,30.22,26.6,92,75,12.75
229,East London,ZA,2020-02-23 14:41:15,-33.02,27.91,69.8,60,20,11.41
230,Soyo,AO,2020-02-23 14:41:16,-6.13,12.37,80.6,94,75,3.36
231,Sabancuy,MX,2020-02-23 14:41:17,18.97,-91.18,70.61,56,0,3.94
232,Asfi,MA,2020-02-23 14:41:18,32.3,-9.24,83.5,17,0,5.77
233,Kota Kinabalu,MY,2020-02-23 14:41:18,5.97,116.07,81.0,74,20,3.36
234,Hualmay,PE,2020-02-23 14:41:19,-11.1,-77.61,80.64,52,25,7.09
235,Sri Aman,MY,2020-02-23 14:41:19,1.24,111.46,77.0,94,99,3.36
236,Kapaa,US,2020-02-23 14:39:26,22.08,-159.32,66.2,93,1,8.05
237,Rabo De Peixe,PT,2020-02-23 14:41:20,37.8,-25.58,62.6,82,20,10.29
238,Mackenzie,CA,2020-02-23 14:41:21,55.3,-123.17,5.0,84,90,4.74
239,Roswell,US,2020-02-23 14:38:14,34.02,-84.36,46.99,75,75,2.51
240,Namatanai,PG,2020-02-23 14:41:22,-3.67,152.43,83.57,73,40,9.64
241,Krutinka,RU,2020-02-23 14:41:22,56.01,71.51,6.64,96,0,2.98
242,Petropavl,KZ,2020-02-23 14:41:22,54.88,69.16,23.68,94,89,6.11
243,Saint-Augustin,CA,2020-02-23 14:41:24,51.23,-58.65,30.18,82,100,22.68
244,Narrabri,AU,2020-02-23 14:41:24,-30.32,149.78,69.01,88,90,3.36
245,Mount Gambier,AU,2020-02-23 14:39:31,-37.83,140.77,55.4,93,100,5.82
246,Bagdarin,RU,2020-02-23 14:41:25,54.43,113.6,0.43,82,0,6.4
247,Sambava,MG,2020-02-23 14:41:25,-14.27,50.17,76.03,97,100,0.56
248,Faya,SA,2020-02-23 14:41:26,18.39,42.45,73.4,43,85,13.87
249,Rocha,UY,2020-02-23 14:41:26,-34.48,-54.33,77.2,37,0,4.14
250,Kahului,US,2020-02-23 14:40:56,20.89,-156.47,66.2,82,1,5.82
251,Zhezkazgan,KZ,2020-02-23 14:41:27,47.8,67.71,19.4,100,90,11.18
252,Tieli,CN,2020-02-23 14:41:28,46.95,128.05,21.34,97,100,2.24
253,Miranda De Ebro,ES,2020-02-23 14:38:22,42.69,-2.95,70.0,37,69,1.12
254,Ettlingen,DE,2020-02-23 14:41:29,48.94,8.41,61.0,62,75,19.46
255,Bengkulu,ID,2020-02-23 14:41:29,-3.8,102.27,76.06,90,20,3.51
256,Bose,IT,2020-02-23 14:41:29,45.46,8.01,64.0,54,90,4.7
257,Sandwick,GB,2020-02-23 14:41:30,60.0,-1.25,41.0,86,40,10.29
258,Khandyga,RU,2020-02-23 14:41:30,62.67,135.6,-5.62,98,100,1.32
259,Airai,TL,2020-02-23 14:41:31,-8.93,125.41,67.93,88,100,2.86
260,Hirara,JP,2020-02-23 14:41:31,24.8,125.28,67.5,75,90,17.52
261,Komsomolskiy,UZ,2020-02-23 14:41:32,40.43,71.72,53.6,62,100,4.7
262,Ajaccio,FR,2020-02-23 14:41:32,42.0,8.92,69.8,63,54,8.05
263,Loikaw,MM,2020-02-23 14:41:33,19.67,97.21,60.71,58,3,2.21
264,Sao Filipe,CV,2020-02-23 14:41:33,14.9,-24.5,67.75,82,100,18.9
265,Touros,BR,2020-02-23 14:41:33,-5.2,-35.46,89.6,55,40,6.93
266,Upington,ZA,2020-02-23 14:41:34,-28.45,21.26,91.4,17,20,8.05
267,Tocopilla,CL,2020-02-23 14:41:34,-22.09,-70.2,72.5,45,9,8.12
268,Erzincan,TR,2020-02-23 14:41:35,39.75,39.5,50.0,53,75,5.82
269,Guanagazapa,GT,2020-02-23 14:41:35,14.23,-90.64,80.6,78,5,1.41
270,Lerwick,GB,2020-02-23 14:41:36,60.15,-1.15,41.0,86,40,10.29
271,Te Anau,NZ,2020-02-23 14:41:36,-45.42,167.72,47.98,84,38,5.88
272,Abalak,RU,2020-02-23 14:41:37,58.13,68.59,26.33,89,93,7.07
273,Nanortalik,GL,2020-02-23 14:41:37,60.14,-45.24,28.42,74,100,3.58
274,Pochutla,MX,2020-02-23 14:41:37,15.74,-96.47,82.0,78,40,5.26
275,Hovd,MN,2020-02-23 14:38:55,48.01,91.64,22.89,57,100,1.88
276,Lavrentiya,RU,2020-02-23 14:41:38,65.58,-171.0,-9.96,83,33,5.32
