City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
101,101,Martapura,ID,2020-02-24 02:58:47,-3.42,114.85,84.76,81,11,0.87,moderate rain,4.44,0.0
102,102,Tomatlan,MX,2020-02-24 02:58:47,19.93,-105.25,72.05,50,0,2.86,clear sky,0.0,0.0
103,103,Dikson,RU,2020-02-24 02:58:48,73.51,80.55,23.9,91,100,27.76,light snow,0.0,0.5
104,104,Kodiak,US,2020-02-24 02:58:48,57.79,-152.41,26.6,35,1,12.75,clear sky,0.0,0.0
105,105,Berlevag,NO,2020-02-24 02:58:49,70.86,29.09,35.55,79,100,11.65,light snow,0.0,0.13
106,106,Cidreira,BR,2020-02-24 02:58:49,-30.18,-50.21,72.64,75,15,25.12,few clouds,0.0,0.0
107,107,Jamestown,US,2020-02-24 02:58:50,42.1,-79.24,46.4,35,90,10.29,overcast clouds,0.0,0.0
108,108,Coahuayana,MX,2020-02-24 02:58:50,18.73,-103.68,75.2,83,20,3.36,few clouds,0.0,0.0
109,109,Dali,CN,2020-02-24 02:58:50,25.7,100.18,54.9,70,26,4.38,scattered clouds,0.0,0.0
110,110,Plouzane,FR,2020-02-24 02:58:51,48.38,-4.62,51.8,93,90,20.8,light intensity drizzle,0.0,0.0
111,111,Bichura,RU,2020-02-24 02:58:52,50.59,107.6,11.66,86,65,4.32,broken clouds,0.0,0.0
112,112,San Fernando,PH,2020-02-24 02:58:52,15.03,120.69,86.0,65,40,9.17,scattered clouds,0.0,0.0
113,113,Lardos,GR,2020-02-24 02:58:53,36.09,28.02,51.8,76,20,2.24,few clouds,0.0,0.0
114,114,Palmares Do Sul,BR,2020-02-24 02:58:53,-30.26,-50.51,68.22,75,0,11.23,clear sky,0.0,0.0
115,115,Atar,MR,2020-02-24 02:58:53,20.52,-13.05,77.45,19,93,9.24,overcast clouds,0.0,0.0
116,116,Vestmannaeyjar,IS,2020-02-24 02:55:20,63.44,-20.27,40.71,67,100,27.22,light snow,0.0,0.88
117,117,Yerbogachen,RU,2020-02-24 02:58:55,61.28,108.01,16.68,88,100,13.09,overcast clouds,0.0,0.0
118,118,Namatanai,PG,2020-02-24 02:58:55,-3.67,152.43,86.45,70,100,11.52,light rain,0.94,0.0
119,119,Touros,BR,2020-02-24 02:58:55,-5.2,-35.46,80.6,83,40,4.7,scattered clouds,0.0,0.0
120,120,Auki,SB,2020-02-24 02:58:56,-8.77,160.7,84.76,69,0,5.75,clear sky,0.0,0.0
121,121,Neiafu,TO,2020-02-24 02:58:57,-18.65,-173.98,84.2,83,75,8.05,broken clouds,0.0,0.0
122,122,Kontagora,NG,2020-02-24 02:58:57,10.4,5.47,74.8,15,0,8.08,clear sky,0.0,0.0
123,123,Isangel,VU,2020-02-24 02:58:58,-19.55,169.27,84.2,70,75,11.41,broken clouds,0.0,0.0
124,124,Abnub,EG,2020-02-24 02:58:58,27.27,31.15,47.59,67,64,6.31,broken clouds,0.0,0.0
125,125,Bathsheba,BB,2020-02-24 02:58:58,13.22,-59.52,78.8,78,40,16.11,scattered clouds,0.0,0.0
126,126,Mandan,US,2020-02-24 02:58:59,46.83,-100.89,32.0,86,75,3.36,broken clouds,0.0,0.0
127,127,Cuamba,MZ,2020-02-24 02:58:59,-14.8,36.54,68.86,97,100,2.37,overcast clouds,0.0,0.0
128,128,Tocache,PE,2020-02-24 02:59:00,-8.18,-76.51,66.0,98,35,2.13,light rain,0.94,0.0
129,129,Saint-Joseph,RE,2020-02-24 02:59:00,-21.37,55.62,75.2,64,0,8.05,clear sky,0.0,0.0
130,130,Marsa Matruh,EG,2020-02-24 02:59:01,31.35,27.25,56.86,72,11,17.81,light rain,0.25,0.0
131,131,Manubul,PH,2020-02-24 02:59:01,5.47,120.8,81.48,72,0,4.14,clear sky,0.0,0.0
132,132,Port Elizabeth,ZA,2020-02-24 02:56:07,-33.92,25.57,53.6,87,22,2.24,few clouds,0.0,0.0
133,133,Saint-Pierre,RE,2020-02-24 02:59:02,-21.34,55.48,75.2,64,0,8.05,clear sky,0.0,0.0
134,134,Kabinda,CD,2020-02-24 02:59:02,-6.13,24.48,67.32,95,100,2.75,overcast clouds,0.0,0.0
135,135,Carnarvon,AU,2020-02-24 02:59:03,-24.87,113.63,80.6,61,0,9.17,clear sky,0.0,0.0
136,136,Silver City,US,2020-02-24 02:59:03,32.77,-108.28,41.0,80,40,18.34,scattered clouds,0.0,0.0
137,137,Aripuana,BR,2020-02-24 02:59:04,-9.17,-60.63,73.4,98,91,1.45,overcast clouds,0.0,0.0
138,138,Shaki,AZ,2020-02-24 02:59:04,41.08,47.17,42.8,93,90,5.41,mist,0.0,0.0
139,139,Tuktoyaktuk,CA,2020-02-24 02:59:04,69.45,-133.04,-7.6,83,75,9.17,light snow,0.0,0.0
140,140,Bethel,US,2020-02-24 02:59:05,41.37,-73.41,43.0,63,1,2.93,clear sky,0.0,0.0
141,141,Marsh Harbour,BS,2020-02-24 02:59:05,26.54,-77.06,68.29,55,1,12.95,clear sky,0.0,0.0
142,142,Krasnoselkup,RU,2020-02-24 02:59:06,65.7,82.47,24.96,88,100,21.34,light snow,0.0,0.13
143,143,Talnakh,RU,2020-02-24 02:59:07,69.49,88.4,19.4,92,90,33.55,overcast clouds,0.0,0.0
144,144,Tezu,IN,2020-02-24 02:59:07,27.92,96.17,67.46,54,58,1.41,light rain,0.63,0.0
145,145,Caravelas,BR,2020-02-24 02:59:07,-17.71,-39.25,79.81,85,63,13.58,light rain,1.94,0.0
146,146,Socoltenango,MX,2020-02-24 02:59:08,16.22,-92.25,66.31,70,0,10.54,clear sky,0.0,0.0
147,147,Payson,US,2020-02-24 02:59:08,40.04,-111.73,44.6,60,75,4.7,broken clouds,0.0,0.0
148,148,Tallahassee,US,2020-02-24 02:56:52,30.44,-84.28,57.99,71,90,4.7,overcast clouds,0.0,0.0
149,149,Puerto Ayora,EC,2020-02-24 02:59:09,-0.74,-90.35,79.0,100,88,1.01,light rain,0.69,0.0
150,150,Tautira,PF,2020-02-24 02:59:10,-17.73,-149.15,86.0,70,40,14.99,scattered clouds,0.0,0.0
151,151,Chernyshevskiy,RU,2020-02-24 02:59:10,63.01,112.47,18.05,90,100,11.92,light snow,0.0,0.13
152,152,Esperance,AU,2020-02-24 02:59:11,-33.87,121.9,75.2,60,90,14.99,overcast clouds,0.0,0.0
153,153,Charyshskoye,RU,2020-02-24 02:59:11,51.4,83.56,13.6,94,85,2.06,overcast clouds,0.0,0.0
154,154,Vanimo,PG,2020-02-24 02:59:12,-2.67,141.3,82.96,75,47,9.19,scattered clouds,0.0,0.0
155,155,Krasnoarmeysk,RU,2020-02-24 02:59:12,51.02,45.7,35.01,94,100,1.99,light snow,0.0,0.94
156,156,Raymond,US,2020-02-24 02:59:13,43.9,-70.47,34.0,86,1,2.15,clear sky,0.0,0.0
157,157,Wajid,SO,2020-02-24 02:59:13,3.81,43.25,68.88,68,96,18.41,overcast clouds,0.0,0.0
158,158,Kulhudhuffushi,MV,2020-02-24 02:59:14,6.62,73.07,83.17,76,32,15.35,scattered clouds,0.0,0.0
159,159,Parry Sound,CA,2020-02-24 02:59:14,45.35,-80.03,37.99,83,20,4.0,few clouds,0.0,0.0
160,160,Cayenne,GF,2020-02-24 02:57:08,4.93,-52.33,80.6,78,90,11.41,overcast clouds,0.0,0.0
161,161,Hamilton,US,2020-02-24 02:59:15,39.18,-84.53,46.4,48,1,3.36,clear sky,0.0,0.0
